"學年度","學校所在地別","校數總數","公立校數","6班以下校數","49班以上校數","教師總數","公立教師數","職員總數","公立職員數","班級總數","公立班級數","學生總數","公立學生數","上學年畢業生總數","公立上學年畢業生總數"
107,苗栗縣,30,30,10,1,1159,1159,160,160,583,541,14967,13302,5508,4920
107,彰化縣,36,36,1,6,2481,2481,344,344,1247,1188,35150,32302,13171,12192
107,南投縣,32,31,12,1,1260,1239,213,197,543,506,13531,12443,5083,4703
107,雲林縣,33,30,5,2,1390,1196,247,222,709,540,19840,14082,7397,5383
107,嘉義縣,24,24,4,0,1013,1013,128,128,459,427,11450,10151,4293,3887
107,屏東縣,37,35,8,2,1638,1558,237,220,802,744,21110,19007,8003,7288
107,臺東縣,21,21,8,1,691,691,134,134,272,263,6052,5806,2144,2073
107,花蓮縣,23,23,8,1,900,900,161,161,377,349,9102,8177,3261,2904
107,澎湖縣,14,14,11,0,288,288,47,47,108,108,2200,2200,824,824
107,基隆市,11,11,0,0,639,639,106,106,337,301,9031,7337,3248,2652
107,新竹市,13,12,1,3,995,981,130,122,544,497,15214,13343,5240,4676
107,嘉義市,8,8,0,2,686,686,97,97,318,265,9351,7267,3575,2741
107,金門縣,5,5,1,0,224,224,49,49,77,77,1863,1863,657,657
107,連江縣,5,5,5,0,61,61,29,29,18,18,220,220,104,104
108,新北市,61,61,4,21,5950,5950,598,598,3406,3028,93426,78480,31765,26946
108,臺北市,60,59,2,11,5028,5013,950,942,2392,2117,64558,53457,21451,17956
108,桃園市,58,56,1,16,5296,5269,613,596,2293,2116,63378,55964,21794,19379
108,臺中市,72,71,5,12,5583,5569,656,648,2867,2549,80549,66886,27326,22796
108,臺南市,59,58,12,7,3411,3353,453,444,1718,1485,47473,38297,16467,13237
108,高雄市,81,80,15,14,5461,5458,736,736,2515,2401,67579,63838,23120,21968
108,宜蘭縣,24,24,5,1,1140,1140,177,177,498,459,12534,11107,4533,4008
108,新竹縣,30,29,7,2,1411,1390,171,164,650,595,16909,14921,5631,4958
108,苗栗縣,30,30,9,1,1184,1184,158,158,576,534,14515,12912,5087,4525
108,彰化縣,38,38,4,5,2442,2442,338,338,1188,1127,33185,30342,12346,11427
108,南投縣,32,31,14,1,1258,1238,215,198,520,484,12793,11755,4677,4309
108,雲林縣,32,29,7,2,1334,1157,225,203,684,516,18968,13390,6851,4873
108,嘉義縣,24,24,5,0,971,971,139,139,433,402,10668,9407,3977,3544
108,屏東縣,37,35,8,2,1627,1547,238,222,771,712,20054,17882,7285,6639
108,臺東縣,21,21,10,1,687,687,129,129,265,256,5805,5588,1974,1896
108,花蓮縣,23,23,8,1,864,864,160,160,358,331,8567,7680,3075,2761
108,澎湖縣,14,14,11,0,293,293,52,52,107,107,2062,2062,763,763
108,基隆市,11,11,0,0,643,643,99,99,329,294,8704,7114,2940,2387
108,新竹市,14,13,1,3,1038,1017,129,121,550,500,15323,13381,4934,4388
108,嘉義市,8,8,0,2,686,686,97,97,308,258,8843,6914,3286,2498
108,金門縣,5,5,1,0,233,233,49,49,77,77,1846,1846,636,636
108,連江縣,5,5,5,0,59,59,28,28,18,18,241,241,60,60
109,新北市,61,61,5,21,5926,5926,597,597,3375,2995,92271,77465,30593,25695
109,臺北市,60,59,2,10,4969,4958,953,945,2349,2064,65349,53831,21395,17895
109,桃園市,58,56,1,15,5275,5248,628,614,2272,2095,62781,55304,21519,19155
109,臺中市,71,70,5,13,5516,5504,652,645,2842,2523,79598,65890,27002,22537
109,臺南市,59,58,13,7,3432,3374,461,452,1698,1470,46886,37768,15963,12872
109,高雄市,81,80,16,14,5367,5361,742,742,2473,2355,66052,62277,22747,21577
109,宜蘭縣,24,24,5,1,1104,1104,174,174,474,439,11869,10608,4410,3900
109,新竹縣,30,29,7,2,1473,1451,193,184,649,592,17130,15025,5516,4901
109,苗栗縣,30,30,12,1,1192,1192,157,157,561,518,14088,12474,4923,4366
109,彰化縣,38,38,4,4,2440,2440,329,329,1148,1085,31796,28899,11509,10618
109,南投縣,32,31,15,1,1270,1243,217,200,502,466,12183,11161,4361,4056
109,雲林縣,32,29,6,2,1374,1196,228,203,673,504,18282,12768,6480,4651
109,嘉義縣,24,24,6,0,972,972,137,137,412,380,9990,8679,3750,3363
109,屏東縣,36,35,6,2,1568,1499,226,218,732,673,18930,16743,7037,6301
109,臺東縣,21,21,10,1,697,697,126,126,259,250,5592,5387,1932,1855
109,花蓮縣,23,23,8,1,871,871,164,164,345,317,8248,7376,2916,2642
109,澎湖縣,14,14,11,0,315,315,53,53,103,103,1902,1902,758,758
109,基隆市,11,11,0,0,637,637,106,106,326,292,8368,6853,2917,2351
109,新竹市,14,13,1,3,1086,1061,132,124,564,511,15651,13640,4992,4425
109,嘉義市,8,8,0,2,698,698,97,97,307,258,8710,6823,3078,2391
